"","name_text6","state_text6","last_digit_text6"
"145","*Arco Municipal Light Plant","Idaho","123"
"146","*Argos Municipal Electric Light Plant","Indiana","171"
"147","*Argusville, Village of","North Dakota","589"
"148","'Argyle Electric and Water Utility","Wisconsin","875"
"149","Arizona Edison Company, Inc","Arizona","15"
"150","Arizona Electric Power Company","Arizona","16"
"151","Arizona General Utilities Company","Arizona","16"
"152","Arizona Power Corporation, The","Arizona","16"
"153","Arkansas General Utilities Company","Arkansas","25"
"154","Arkansas- Missouri Power Corporation","Arkansas","25"
"155","","Missouri","420"
"156","Arkansas Power & Light Company","Arkansas","26"
"157","","Louisiana","283"
"158","Arkansas Utilities Company","Arkansas","27"
"159","'Arkansas Valley Electric Cooperative Corporatio","on. Arkansas","34"
"161","The","Kansas...","265"
"162","Arlington, City of","South Dakota...","727"
"163","*Arlington Municipal Light & Power System","Minnesota","380"
"164","'Arlington Municipal Plant, The","Ohio","611"
"165","*Arma, City of","Kansas","245"
"166","*Armington Municipal Lighting System","Illinois","144"
"167","'Armstrong Electric Department","Missouri","433"
"168","'Arnold, Village of","Nebraska","466"
"169","Arrowhead Lake Corporation","""... California","48"
"170","Arrowhead Light & Power Co","Minnesota","368"
"171","Arvada Electric Company, The","Colorado","57"
"172","'Ashburnham Municipal Light Department","Massachusetts","336"
"173","'Asheville, City of","North Carolina","569"
"174","'Ashland, City of","Kansas","245"
"175","'Ashland Electric Department","Oregon","662"
"176","'Ashland Municipal Electric Light Department","New Hampshire","506"
"177","Aspinook Corporation","Connecticut","76"
"178","'Aspinwall Borough Water and Light Plant","Pennsylvania","697"
"179","Associated Maryland Electric Power Corporation","Maryland","309"
"180","'Atchison-Holt Electric Cooperative","Missouri","443"
"182","The","Arizona..","21"
"183","'Athens Board of Public Utilities, City of","Tennessee","739"
"184","'Athens Light Department, City of","Alabama","7"
"185","Athol Gas and Electric Company","Massachusetts","320"
"186","Atlanta Power Company","Idaho","119"
"187","Atlantic City Electric Company","New Jersey","509"
"188","'Atlantic Municipal Light & Water Plant","Iowa","207"
"189","'Attica, City of","Kansas","245"
"190","Attleboro Steam and Electric Company","Massachusetts","320"
"191","'Auburn, City of","Nebraska","465"
"192","'Auburn Electric Light and Water Department","Indiana","171"
"193","Auburn Shank Company","New York","547"
"194","'Auburn, Town of","Iowa","207"
"198","*Augusta City Light and Water Plant","Arkansas","32"
"199","*Augusta, City of","Kansas","245"
"200","*Aurora, Town of","North Carolina","570"
"202","Commissioners","Minnesota","380"
"203","Austin Garage & Machine Shop","Nevada","497"
"204","* Austin Water, Light, and Power Department","Texas","771"
"205","*Avalon-Utility Department, City of","California","50"
"206","*Avilla Electric Light Plant","Indiana","172"
"207","Avondale Mills","Alabama","5"
"208","*Axtell Municipal Electric Department","Kansas","246"
"209","*Ayden Water and Light Department","North Carolina","570"
"210","*Azusa Light, Power and Water Department","California","50"
"212","*B. A. R. C. Electric Cooperative","Virginia","822"
"213","*Badger, Town of","South Dakota","727"
"214","Bagley and Sewall","New York","547"
"215","*Bagley Water & Light Commission","Minnesota","381"
"216","Bailey, C. C","West Virginia","845"
"217","*Bailey County Electric Cooperative Association","Texas","779"
"218","Baileyville Light & Power Co","Kansas","236"
"219","*Bairibridge Board of Public Affairs","Ohio","611"
"220","*Bainbridge Municipal Electric Department","Indiana","172"
"221","*Baird, Electric Light & Power Plant, City of","Texas","771"
"222","*Baker Electric Cooperative, Inc","North Dakota","591"
"223","*Baker Municipal Power and Light System","Oregon","662"
"224","Baker Utilities Company, Earl W","Oklahoma","634"
"225","Baldon & Sons, C. H","Colorado","57"
"226","*Baldwin City Light & Water Department","Kansas —","246"
"228","tion","Alabama","12"
"229","Baldwin County Power Company","Alabama","4"
"230","*Bamberg Board of Public Works","South Carolina","715"
"231","*Bancroft Municipal Electric Plant. .","Iowa .","207"
"232","*Bandera Electric Cooperative, Inc","Texas","780"
"233","*Bandon, Hydroelectric Department, City of","Oregon","662"
"234","Bangor and Aroostook Railroad Company","Maine","305"
"235","*Bangor Electric Department, City of","Maine","306"
"236","Bangor Hydro-Electric Company","Maine","297"
"237","*Bangor Municipal Electric & Water Department..","Wisconsin.","875"
"238","*Banning Electrical Department","California","50"
"239","Baraga County Light and Power Company","Michigan","344"
"240","*Baraga, Village of","Michigan","355"
"241","*Barbourville Electric Department","Kentucky","277"
"242","*Bardstown, City of","Kentucky","277"
"243","*Bargersville Heat, Light & Power Company","Indiana —","172"
"244","*BarnesviIle, City of","Georgia","106"
"245","*Barnesville, City of","Minnesota","381"
"246","Barre Wool Combing Co., Ltd., The","Massachusetts","335"
