"","name_text6","state_text6","last_digit_text6"
"1153","Delmarva Power Company, The","Maryland ","310"
"1154","•Delta, City of","Colorado","65"
"1155","•Delta Electric Power Association","Mississippi ","414"
"1156","•Delta-Montrose Rural Power Lines Association...","Colorado","69"
"1157","Deming Ice and Electric Company","New Mexico ","519"
"1158","*T)enison Municipal Light and Power","Iowa ","210"
"1159","Denmark Light and Telephone Corporation","Iowa. ","194"
"1160","•Dennison Project","Texas ","773"
"1161","*Denton County Electric Cooperative, Inc","Texas ","781"
"1162","•Denton Municipal Water A Light,","Texas ","773"
"1163","Denton Sleeping Garment Mills, Inc","Michigan ","354"
"1167","•Denver, Lighting System, Town of","Iowa","210"
"1168","Derby Gas and Electric Company, The","Connecticut","74"
"1169","*Dering Harbor, Village of","New York","550"
"1170","Derry Electric Company, The","New Hampshire","502"
"1171","*Deshler Light and Water Works","Ohio","614"
"1172","*Deshler Municipal Utilities","Nebraska","473"
"1173","Des Moines & Central Iowa R. R","Iowa","205"
"1174","Des Moines Electric Light Company","Iowa","194"
"1175","*De Soto, City of","Kansas","249"
"1176","Detroit Edison Company, The","Michigan","347"
"1177","*Detroit Lakes Municipal Light Plant","Minnesota","384"
"1178","*Detroit, Public Lighting Commission, City of","Michigan","357"
"1179","Deweese Power Co","Nebraska","460"
"1180","Dewey Brothers","Idaho","119"
"1181","Dewey Portland Cement Company","Oklahoma","640"
"1182","*De Witt Countv Electric Cooperative, Inc","Texas","781"
"1184","of","Nebraska..","473"
"1185","Dexter Sulphite Pulp & Paper Company","New York","547"
"1186","Diamond Alkali Company","Ohio","609"
"1187","Diamond Coal and Coke Company","Wyoming","899"
"1188","Dickey & Sons, Inc., W. J","Maryland","315"
"1189","*Dickson, Town of","Tennessee","741"
"1190","Dierks Lumber & Coal Company","Arkansas","31"
"1191","*Dighton, City of","Kansas","249"
"1192","*Dike, Incorporated Town of","Iowa","210"
"1193","Dillsboro and Sylva Electric Light Company","North Carolina","562"
"1194","*Dixie Electric Cooperative","Alabama","13"
"1195","*Dixie Electric Membership Corporation","Louisiana","294"
"1196","Dixie Power and Light Company","Tennessee","736"
"1197","*Dixon, Town of","Wyoming","901"
"1198","*Dix, Village of","Nebraska","473"
"1199","Doe Run De Lassus Light & Power Co","Missouri","422"
"1200","*Doerun Water & Light Plant, City of","Georgia","108"
"1201","Domestic Electric Service, Inc","North Carolina","562"
"1202","Doniphan County Light & Power Co","Kansas","237"
"1204","The","Kansas","266"
"1205","*Dorchcster, Village of","Nebraska","473"
"1206","*Dothan Water & Electric Department","Alabama","8"
"1207","*Douglas, City of","Georgia","108"
"1209","tion","Minnesota","400"
"1210","*Douglas County Electric Cooperative, Inc","Washington","839"
"1212","tion","Georgia","114"
"1213","*Douglas Municipal System","Nebraska","473"
"1214","*Dover Electric Light & Power Plant","Ohio","614"
"1215","*Dover Light & Water Department, City of","Delaware","80"
"1216","*Dowagiac Board of Public Works","Michigan","357"
"1217","*Drain, City of","Oregon","664"
"1218","*Drexel, Town of","North Carolina","571"
"1220","Inc., The","Kansas— -","266"
"1221","*Dublin Municipal Electric Light Plant","Indiana","174"
"1222","Dubois Public Service Co","__ Wyoming","896"
"1223","*Dubois, Village of","Idaho _'..","124"
"1224","*Dubois, Village of","Nebraska","473"
"1225","*Duck River Electric Membership Corporation","Tennessee","750"
"1226","Ducktown Citizens Light & Power Co","Tennessee","736"
"1227","*Dudley, Town of","Georgia","108"
"1228","*Due West Commission of Public Works","South Carolina","716"
"1229","Duke Power Company","North Carolina","562"
"1230","","South Carolina","710"
"1231","*Duncan, City of","Oklahoma","643"
"1232","*Duncan Municipal Light & Power","Nebraska","474"
"1236","•Duncannon Borough Light and Power Plant","Pennsylvania ","698"
"1237","Duncan Utilities Co","Arizona","17"
"1238","","New Mexico ","520"
"1239","•Dundee Light and Power Department","Minnesota ","384"
"1240","•Dunkerton Municipal Electric System","Iowa ","210"
"1241","•Dunkirk Board of Water Commissioners","New York ","551"
"1242","Dunn & McCarthy Shoe Company","New York ","548"
"1243","*Dunn County Electric Cooperative","Wisconsin ","890"
"1244","•Dunnell, Village of","Minnesota ","384"
"1245","*Dunreith, Electric Light Department, Town of.",".. Indiana ","175"
"1246","du Pont de Nemours & Co., E. I","Colorado","64"
"1247","","Washington ","833"
"1248","•Dupree Light & Power Plant","South Dakota ","728"
"1249","Duquesne Light Company","Pennsylvania ","670"
"1250","•Durant Light & Water Plant","Mississippi ","409"
"1251","Durham Public Service Company","North Carolina ","563"
"1252","•Durham Water Department","North Carolina ","571"
"1253","Dutchess Bleachery, Inc","New York ","548"
"1254","•Dyersburg Water & Light Department","/Tennessee ","742"
"1255","•Dysart Electric System","Iowa ","211"
"1257","Eagle Butte Light and Power Co","South Dakota ","723"
"1258","Eagle-Picher Mining & Smelting Co","Oklahoma ","640"
"1259","Eagle River Electric Co","Colorado","58"
"1260","•Eagle River Light & Water Commission","Wisconsin ","878"
"1261","•Earlville Municipal Plant","Iowa ","211"
"1262","Earp Power, Light & Telephone Co","North Carolina ","564"
"1263","•Easley City Water & Light Plant","South Carolina ","716"
"1264","•East Bay Municipal Utility District","California","51"
"1266","Inc","Oklahoma ","651"
"1267","East, Charles L","California","39"
"1268","East Dubuque Electric Company","Illinois ","134"
"1269","•East End Mutual Electric Company, Ltd","Idaho ","126"
"1270","Eastern Coal Corporation, Inc","Kentucky ","276"
"1271","•Eastern Illinois Power Cooperative","Illinois ","154"
"1272","Eastern Iowa Electric Company","Iowa ","195"
"1273","•Eastern Iowa Light & Power Cooperative","Iowa ","229"
"1274","Eastern Iowa Power Company","Iowa ","195"
"1275","Eastern Massachusetts Electric Company","Massachusetts ","323"
"1276","Eastern Minnesota Power Corporation","Minnesota ","369"
"1277","•Eastern Nebraska Public Power District","Nebraska ","474"
"1278","Eastern Oregon Light and Power Company","Oregon ","656"
"1279","Eastern Shore Public Service Company","Delaware","79"
"1281","land, The","Maryland ","310"
"1282","Eastern Shore Public Service Company of Virginia.","Virginia ","812"
"1284","Company","Pennsylvania ","671"
"1285","East Fallowfield, Light and Power Company","Pennsylvania ","671"
"1286","•East Grand Forks, City of","Minnesota ","384"
"1287","Eastman Kodak Company","New York ","548"
"1288","•East Mississippi Electric Power Association","Mississippi ","414"
"1289","East Missouri Power Company","Missouri ","422"
"1290","•Easton, Town of","Missouri ","435"
"1291","•Easton Utilities Commission","Maryland ","316"
"1292","•East Palestine, City of","Ohio ","614"
"1293","•East Point, Light and Water Department, City of .",". Georgia ","108"
"1294","•East Rutland Electric Cooperative","Wisconsin ","890"
"1295","East Side Electric Light Company","North Carolina ","564"
"1296","East Tennessee Light & Power Company","North Carolina ","564"
"1297","","Tennessee ","736"
"1298","","Virginia ","812"
"1299","Eaton Lighting Company, The","Ohio ","599"
"1300","•Eaton Rapids, City of","Michigan ","358"
"1304","*Eatonville Light and Power Co.","Washington.","835"
"1305","Eau Claire Dells Improvement Company","Wisconsin","859"
"1306","*Eau Claire Electric Cooperative","Wisconsin","890"
"1307","Ebensburg Coal Company","Pennsylvania","695"
"1308","*Eckley, Town of","Colorado","65"
"1309","*Eddyville, Electric Account, Village of","Nebraska","474"
"1310","*Edenton Electric and Water Department","North Carolina","572"
"1311","*Edgar Electric Cooperative Association","Illinois","154"
"1312","*Edgar Light & Water Department, City of","Nebraska","474"
"1313","Edgar Tufts Memorial Association, Inc","North Carolina","564"
"1315","ship Corporation","North Carolina","582"
"1316","*Edgerton Municipal Electric Distribution System.","Ohio","615"
"1317","*Edinburg Water and Light Plant","Indiana","175"
"1318","Edison Light and Power Company","Pennsylvania","672"
"1319","Edison Sault Electric Company","Michigan","348"
"1320","*Edisto Electric Cooperative, Inc","South Carolina","719"
"1321","*Edmond Light and Water Department","Oklahoma","643"
"1322","Edwards Electric Light & Pqwer Co","New York","531"
"1323","Edwards Mfg. Co -","Maine","305"
"1324","Edwards Power Company, The","Ohio","599"
"1325","E. G. Light Company","Illinois","138"
"1326","*Egyptian Electric Cooperative Association","Illinois","154"
"1327","Ekalaka Light and Power Company","Montana","449"
"1328","Elaine Utilities Company","Arkansas","29"
"1329","*Elberton Water & Light Department","Georgia","108"
"1330","El Bethel Electric Company","North Carolina","564"
"1331","*Eldon, City of","Iowa","211"
"1332","*Eldorado Light and Water System","Oklahoma","643"
"1333","*Eldorado Municipal Light Co","Ohio","615"
"1334","*Eldorado Springs Light and Water Plant","Missouri","435"
"1335","*Eldridge, Town of..","Iowa","211"
"1336","*Electra, City of","Texas","774"
"1337","Electrical Inspection and Servicing Company","Michigan","354"
"1338","Electric Co., The","South Carolina","711"
"1339","Electric Distributing Company, The","South Dakota","723"
"1340","Electric Light & Power Company","Iowa","195"
"1341","Electric Service Company","Indiana","159"
"1342","Electro Metallurgical Company","New York","548"
"1343","","Virginia","818"
"1344","","West Virginia","852"
"1345","Elida Light Plant","New Mexico","520"
"1347","City of","North Carolina","572"
"1348","Elizabeth Light and Power Company, The","Illinois","134"
"1349","Elk Creek Power Company","Wisconsin","859"
"1350","*Elk Creek, Town of","Nebraska","474"
"1351","*Elkhart, Town of","Iowa","211"
"1352","Elkhorn Coal Corporation","Kentucky","276"
"1353","*Elkhorn Light & Water Commission","Wisconsin","878"
"1354","Elkland Electric Company, Inc","Pennsylvania","672"
"1355","Elkland Leather Co., Inc","Pennsylvania","695"
"1356","Elko Lamoille Power Company","Nevada","495"
"1357","*Elk Point Municipal Light Plant -","South Dakota","728"
"1358","Elk Power Co","West Virginia...","846"
"1359","Elk River Coal and Lumber Co","West Virginia","852"
"1360","Elk River Power & Light Company","Minnesota","370"
"1361","*Elk River, Village of","Idaho","124"
"1362","*Elkton, Town of","Virginia","820"
"1363","*Ellaville Electric & Water Works","Georgia","109"
"1364","*Ellensburg Light Department, City of","Washington","835"
"1365","Ellenville Electric Company","New York","531"
"1366","Ellicottville Electric Light Co","New York","531"
"1367","*EIlinwood Light and Water Department","Kansas","249"
"1368","*Ellis Light and Water Plant","Kansas","249"
"1372","*EUsworth Municipal Light Plant, Town of I","Iowa -","211"
"1373","*Ellwood City Borough Electric Department P","Pennsylvania ","698"
"1374","*Elm City Electric Light Department N","North Carolina ","572"
"1375","*Elmhurst Mutual Company W","Washington ","839"
"1376","*Elmore Electric Light Plant O","Ohio ","615"
"1377","Eloy Light, Power & Utility Company A","Arizona ","18"
"1378","El Paso Electric Company (Texas) N","New Mexico ","520"
"1379","T","Texas ","759"
"1380","*Elroy Municipal Light Plant W","Wisconsin ","879"
"1381","*Elsmore, City of K","Kansas ","249"
"1382","*Elwood, City of K","Kansas ","249"
"1383","Ely Light & Power Company N","Nevada ","495"
"1384","Elyria Milling and Power Company O","Ohio ","609"
"1385","*Ely Water & Light Department M","Minnesota .-. ","384"
"1386","*Emerson Municipal Light & Power Plant N","Nebraska ","474"
"1387","Emmons County Light & Power Co N","North Dakota ","586"
"1388","Empire District Electric Co., The. K","Kansas ","237"
"1389","M","Missouri ","422"
"1390","O","Oklahoma ","634"
"1391","*Empire Electric Association, Inc C","Colorado ","69"
"1392","*Empire Electric Company, Ltd I","Idaho ","126"
"1393","Empire Service Co F","Florida ","85"
"1394","Empire Southern Service Co T","Texas ","759"
"1395","*Endicott Municipal Light Plant N","New York ","551"
"1396","*Endicott, Village of N","Nebraska ","474"
"1397","*Enfield, Town of N","North Carolina ","572"
"1398","*Enosburg Falls, Village of V","Vermont ","807"
"1399","Ensign-Bickford Co., The C","Connecticut ","76"
"1400","'Enterprise, City of K","Kansas ","249"
"1401","Entwistle Manufacturing Co N","North Carolina ","568"
"1402","*Ephraim Electric Light & Power Plant U","Utah ","794"
"1403","*Ephrata, Borough of P","Pennsylvania ","698"
"1404","Equinox Mill S","South Carolina ","714"
"1405","*Erath County Electric Cooperative Association.- T","Texas ","781"
"1406","*Erath, Town of L","Louisiana ","290"
"1407","Erie County Electric Company P","Pennsylvania ","672"
"1408","Erie Lighting Company P","Pennsylvania ","672"
"1409","*Erie Municipal Lighting System C","Colorado ","65"
"1410","*Erie Water and Light Department K","Kansas ","250"
"1411","Escalante Light & Power Co U","Utah ","789"
"1412","*Escambia River Electric Cooperative, Inc F","Florida ","96"
"1413","*Escanaba Municipal Utilities M","Michigan ","358"
"1414","*Escondido Mutual Water Company C","California ","56"
"1416","Department S","South Dakota ","728"
"1417","*Estelline Municipal Light & Power Plant S","South Dakota ","728"
"1418","*Estherville, City of I","Iowa ","211"
"1419","*Etna, Boro of P","Pennsylvania ","698"
"1420","*Etna Green Electric Light Department, Town of_ I","Indiana ","175"
"1421","*Etowah, Utilities Department, Town of T","Tennessee ","742"
"1422","Euclid Doan Power Company O","Ohio ","599"
"1423","*Eudora Light Department K","Kansas ","250"
"1424","*Eugene Water Board O","Oregon ","664"
"1425","Eureka Light and Power Co K","Kansas ","237"
"1426","Evansville & Ohio Valley Railway Company, Inc__ I","Indiana ","170"
"1427","*Evansville Water and Light Department W","Wisconsin ","879"
"1428","Everglades Railway Light & Power Co F","Florida ","85"
"1430","ciation I","Iowa ","229"
"1431","*Evergreen Electric System A","Alabama ","8"
"1432","Evergreen Public Service Co C","Colorado ","58"
"1433","Ewauna Box Co O","Oregon ","661"
"1437","*Excelsior Electric Membership Corporation","Georgia","115"
"1438","Exeter & Hampton Electric Company","New Hampshire","602"
"1439","Exposition Cotton Mills Co","Georgia","104"
"1441","*Fairbank Municipal Light Plant","Iowa","212"
"1442","*Fairburn Light & Water Plant","Georgia","109"
"1443","'Fairburn Light Plant, Town of","South Dakota","728"
"1444","'Fairbury Light & Water Department","Nebraska","474"
"1445","Fairfax Electric Co","Maryland","311"
"1446","","West Virginia","846"
"1447","'Fairfax Electric Light Department, Village of","Minnesota","384"
"1448","'Fan-field Electric Cooperative, Inc","South Carolina","719"
"1449","*Fairfield Light and Power Plant","Illinois","146"
"1450","*Fairfield Township Light & Power Corporation","Pennsylvania","673"
"1451","*Fairhope, Town of","Alabama","8"
"1452","'Fairmont Municipal Light & Water Works","Nebraska","475"
"1453","'Fairmont Water and Light Commission","Minnesota","384"
"1454","*Fairport Municipal Electric Plant","New York","551"
"1455","*Fair view Light and Water Department","Oklahoma","643"
"1456","*Fairview Municipal Electric Plant",".. Utah","794"
"1457","*Faith Municipal Light & Power Plant","South Dakota","728"
"1458","'Fallen, City of","Nevada","498"
"1459","Fall River Electric Light Company","Massachusetts","323"
"1460","*Fall River Rural Electric Coop., Inc.","Idaho","126"
"1461","*Falls City Water & Light Dept","Nebraska","475"
"1462","*Falmouth Light & Water Plant","Kentucky","277"
"1463","*Fannin County Electric Cooperative, Inc","Texas","781"
"1465","tion","Minnesota","400"
"1466","*Farmer City Water and Light Plant","Illinois","146"
"1467","Farmers Electric Company","Idaho","119"
"1468","*Farmers Electric Company","Iowa","229"
"1469","*Farmers Electric Company","Maine","308"
"1470","*Farmers' Electric Cooperative","Missouri","444"
"1471","'Farmers Electric Cooperative Corporation..","Arkansas","35"
"1472","*Farmers Electric Cooperative, Inc","Iowa","229"
"1473","*Farmers' Electric Cooperative, Inc","New Mexico","524"
"1474","*Farmers' Electric Cooperative, Inc","Texas","782"
"1475","Farmers Elevator Company, The","North Dakota","588"
"1476","*Farmer's Light and Power Company","Kansas","266"
"1477","'Farmers Light and Power Company","Wisconsin","890"
"1478","'Farmers Mutual Electric Company","Illinois","154"
"1480","Inc","Kentucky..","279"
"1481","'Farmers ville Municipal Light Plant","Texas","774"
"1482","'Farm-Home Electric Cooperative, Inc","Maine","308"
"1483","'Farmington Light & Water Department","Missouri","435"
"1484","Farmington River Power Company, The","Connecticut","74"
"1485","'Farm Light & Power Co","Wyoming","904"
"1486","Farm Light Company","North Carolina","564"
"1487","'Farm Security Administration, Greendale Project..",". Wisconsin","879"
"1488","'Farm Security Administration, Greenhills Project.",". Ohio","615"
"1489","'Farmville, Water and Light Dept., Town of","North Carolina","572"
"1490","'Farnam Municipal Electric Plant","Nebraska","475"
"1491","'Farnhamville, Town of","Iowa","212"
"1492","'Fayette Electric Cooperative, Inc","Texas","782"
"1493","'Fayette Light & Water Plant","Mississippi","409"
"1495","ship Corporation","Indiana","185"
"1496","'Fayetteville Electric Distribution System, City o","of. Tennessee","742"
"1497","'Fayetteville, Public Works Commission, City of..","North Carolina","572"
"1498","'Fayette Water and Light Department","Missouri","435"
"1499","'Federated Cooperative Power Association","Iowa","229"
"1500","'Federated Rural Electric Association","Minnesota","400"
"1504","•Fennimore Water and Light Plant","Wisconsin","879"
"1505","*Ferdinand Municipal Light Plant","Indiana","175"
"1506","'Fergus Electric Cooperative, Inc","Montana","454"
"1507","*Fergus Falls Water and Light Department","Minnesota","384"
"1508","Ferry, J. N","North Dakota..","589"
"1509","*Ferry Light and Power Company","Idaho","126"
"1510","Fife Lake Light Company","Michigan","349"
"1511","•Filley, Village of","Nebraska","475"
"1512","*Fillmore City Corporation","Utah...","794"
"1513","*Fircrest. Town of","Washington...","835"
"1514","•Firelands Electric Cooperative, Inc","Ohio","628"
"1515","Firesteel Electric Company","South Dakota","723"
"1516","*First Electric Cooperative Corporation","Arkansas","35"
"1518","1905 Trust","Minnesota","370"
"1519","*Firth Municipal Electric Department","Nebraska","475"
"1520","Fisher Electric Co","Minnesota .","370"
"1521","Fishers Island Electric Corporation, The","New York","531"
"1522","Fitchburg Gas and Electric Light Company","Massachusetts","324"
"1523","•Fithian Electric Light Co","Illinois","146"
"1524","*Fitzgerald Water, Light & Bond Commission","Georgia","109"
"1525","*Flagler Municipal Power Plant","Colorado","65"
"1526","Flagstaff Electric Light Company","Arizona","18"
"1527","Flambeau Paper Company","Wisconsin","873"
"1528","*Flandreau Municipal Electric Plant","South Dakota","729"
"1529","Flasher Electric Co.. The","North Dakota","586"
"1530","•Flathead Electric Cooperative, Inc","Montana","454"
"1531","Flat Top Power Company","West Virginia","846"
"1533","poration","Kentucky","279"
"1534","•Fleming Municipal Plant","Colorado","65"
"1535","Fletcher Light & Power","Oklahoma","635"
"1536","*Flint Electric Membership Corporation","Georgia","115"
"1538","Inc...","Kansas","266"
"1539","•Flora, City of","Illinois","147"
"1540","•Florence, Electricity Department, City of","Alabama","8"
"1541","•Florence Water & Light Commission","Wisconsin","879"
"1542","Florida Power & Light Company","Florida","86"
"1543","Florida Power Corporation","Florida","87"
"1544","Florida Public Service Company","Florida","88"
"1545","Florida Public Utilities Company","Florida","88"
"1546","•Floydada, City of","Texas.","774"
"1547","•Floyd County Rural Electric Cooperative, Inc —","Texas","782"
"1548","•Fonda, Town of _","Iowa","212"
"1549","Fon tuna Power Company","California","39"
"1550","•Fontanelle Electric Light System","Iowa","212"
"1551","•Footville Water & Electric Commission","Wisconsin","879"
"1552","•Ford City Borough Light Plant","Pennsylvania","699"
"1553","Ford Motor Co","Michigan","354"
"1554","•Forest City Municipal Utilities","Iowa","212"
"1555","•Forest City, Town of","North Carolina","572"
"1556","•Forest Grove-City of","Oregon","664"
"1557","•Forrest City Water & Light Plant","Arkansas...","32"
"1558","•Forsyth, City of","Georgia","109"
"1560","tion","Georgia","115"
"1561","•Fort Belknap Electric Cooperative, Inc","Texas","782"
"1562","Fort Bend Utilities Company","Texas","759"
"1563","•Fort Collins Light and Power Department","Colorado","66"
"1564","Fort Dodge, Des Moines & Southern R. R. Co","Iowa","205"
"1565","Fort Dodge Gas and Electric Company","Iowa","195"
"1566","•Fort Dodge Water & Light Department, City of. .","Iowa","212"
"1567","Fort Fairfield Light and Power Company","Maine","301"
"1568","•Fort Laramie. Town of","Wyoming","901"
"1569","•Fort Loudon Electric Cooperative","Tennessee","750"
"1573","*Fort Meade Electric Department","Florida ","91"
"1574","*Fort Morgan, The City of","Colorado ","66"
"1575","*Fort Payne, Improvement Authority, City of","Alabama","9"
"1576","*FortPierce, City of","Florida ","92"
"1577","*Fort Pierre Light & Power Plant","South Dakota ","729"
"1578","*Fort Valley Board of Water & Light Commission..","Georgia ","109"
"1580","Works","Indiana ","175"
"1581","Foss Electric Co","Iowa ","196"
"1582","*Fountain Light Department","Colorado ","66"
"1583","*Fountain Municipal Electric Department","North Carolina ","573"
"1584","*Four-County Electric Membership Corporation-.","North Carolina ","582"
"1585","*4-County Electric Power Association","Mississippi ","414"
"1587","tion","Kentucky ","279"
"1588","*Frankfort City Light and Power Plant","Indiana ","175"
"1589","*Frankfort Municipal Electric Light Plant","New York ","551"
"1590","*Franklin Borough Electric Department","New Jersey ","516"
"1591","*Franklin Electric Light and Water Plant","Virginia ","820"
"1592","Franklin Electric Light Company, Inc","Vermont ","803"
"1593","*Franklin Electric Light Plant","Nebraska ","475"
"1594","*Franklin Municipal Plant","Louisiana ","290"
"1595","Franklin Power & Light Company","Tennessee ","737"
"1596","*Franklin Rural Electric Cooperative","Iowa ","229"
"1597","Franklin Transmission Company","Pennsylvania ","673"
"1598","*Frankton Water & Light Plant","Indiana ","175"
"1599","*Frederick, City of","Oklahoma ","644"
"1600","*Frederick, Corporation of","Maryland ","316"
"1601","*Frederick Municipal Electric Department","Colorado ","66"
"1602","*Fredericksburg Light & Power Co","Iowa ","212"
"1603","*Fredonia, City of","Kansas ","250"
"1604","Fredonia Power & Light Company","Arizona ","18"
"1606","Association","M innesota ","401"
"1607","*Freeburg Municipal Light Plant","Illinois ","147"
"1608","Freedom Utilities Co","Oklahoma ","635"
"1609","Freeport Sulphur Company","Louisiana ","288"
"1610","Freeport Sulphur Company","Texas ","770"
"1611","*Freeport, Village of","New York ","551"
"1612","*Fremont, Department of Utilities of the City of..",". Nebraska ","475"
"1613","*Fremont Light and Water Department","North Carolina ","573"
"1614","*French Broad Electric Membership Corporation..","North Carolina ","582"
"1615","Friday Harbor Light & Power Co","Washington ","826"
"1616","Friend, Walter","North Dakota ","586"
"1617","*Friend Water and Light Department","Nebraska ","476"
"1618","*Front Royal, Town of","Virginia ","820"
"1619","*Fruit Belt Electric Cooperative","Michigan ","365"
"1620","Fulton Bag & Cotton Mills","Georgia ","104"
"1622","poration","Indiana ","185"
"1623","Fulton Electric Light, Heat & Power Company","Pennsylvania ","673"
"1624","*Fulton Municipal Water, Light and Power Plant. Mi","issouri ","435"
"1625","*Funk, Village of","Nebraska ","476"
"1627","*Gaffney Board of Public Works","South Carolina ","716"
"1629","Co., Trustee, The","Nebraska ","460"
"1631","Plant","Florida ","92"
"1632","Galbreath, John W","Ohio ","599"
"1633","*Galesburg, City of","Kansas ","250"
"1634","*Galion Municipal Light & Power Plant","Ohio ","615"
"1635","*Gallatin Department of Electricity","Tennessee ","742"
"1636","*Gallatin Light and Water Works","Missouri ","435"
"1640","Gallitzin Electric Light Company P","Pennsylvania ","673"
"1641","Gallup American Coal Co N","New Mexico ","522"
"1642","'Gallup Electric Light & Power System, Town of N","New Mexico ","523"
"1643","*Galt Municipal Light Plant M","Missouri ","435"
"1645","*Garden City, City of K","Kansas ","250"
"1646","Garden City Co., The K","Kansas ","244"
"1647","Garden City Irrigation Power Company, The K","Kansas ","238"
"1648","Gardiner Electric Light & Water Company M","Montana ","449"
"1649","Gardner Electric Light Company M","Massachusetts ","324"
"1650","*Gardner Municipal Electric Plant K","Kansas ","250"
"1651","•Garkane Power Association, I ncorporated U","Utah ","799"
"1652","*Garland Light & Power Company W","Wyoming ","904"
"1653","*Garland Municipal Utilities T","Texas ","774"
"1654","*Garnett, City of. K","Kansas ","251"
"1655","*Garrett Municipal Utilities I","Indiana ","176"
"1656","Gary Heat, Light & Water Company I","Indiana ","160"
"1657","*Gas City Light Department I","Indiana ","176"
"1658","Gasconade Power Company M","Missouri ","423"
"1659","Gaskill, E. L K","Kansas ","238"
"1660","*Gastonia, City of N","North Carolina ","573"
"1661","*Gate City Electric Cooperative, Inc T","Texas ","782"
"1663","*Geary Light and Water Department O","Oklahoma ","644"
"1664","General Minnesota Utilities Company M","Minnesota ","370"
"1665","General Public Utilities, Inc S","South Dakota ","723"
"1666","T","Texas ","759"
"1667","General Utilities Company, The O","Ohio ","509"
"1669","Utility I","Illinois ","147"
"1670","*Geneva, City of I","Illinois ","147"
"1671","•Genoa Board of Public Affairs O","Ohio ","615"
"1672","'Georgetown, City of S","South Carolina ","716"
"1673","'Georgetown Light Department M","Massachusetts ","337"
"1674","'Georgetown Municipal Light Plant O","Ohio ","615"
"1675","'Georgetown Water & Light Plant T","Texas ","774"
"1676","Georgia Marble Co G","Georgia ","105"
"1677","Georgia Power and Light Company G","Georgia ","103"
"1678","Georgia Power Company G","Georgia ","100"
"1679","'Gering, City of N","Nebraska ","476"
"1680","'Gering Valley Rural Public Power District N","Nebraska ","476"
"1681","'Gibson County Electric Membership Corporation . T","Tennessee ","750"
"1682","Gideon Anderson Lumber Company M","Missouri ","432"
"1683","'Gila Valley Power District A","Arizona ","22"
"1685","mission, Village of M","Minnesota ","385"
"1686","Gildersleeve, Mr. J. R W","West Virginia ","846"
"1687","'Gillette, City of W","Wyoming ","901"
"1688","Oilman Electric Light & Power Co V","Vermont ","803"
"1689","Gilman Paper Company V","Vermont ","807"
"1690","'Oilman Power and Light Plant M","Missouri ","436"
"1691","Gilmanton Roller Mills W","Wisconsin ","873"
"1692","'Giltner Light & Water Department N","Nebraska ","476"
"1693","'Girard Borough Municipal Light Plant P","Pennsylvania ","699"
"1694","'Girard Light & Power Plant K","Kansas ","251"
"1695","Glades Power and Light Company F","Florida ","89"
"1696","'Gladstone, City of M","Michigan ","358"
"1697","'Glasco Light Department K","Kansas ","251"
"1698","Glen Alden Coal Company, The P","Pennsylvania ","695"
"1699","'Glencoe Municipal Electric Plant M","Minnesota ","385"
"1700","'Glendsle Public Service Department C","California ","51"
"1701","'Glen Elder, City of K","Kansas ","251"
"1702","Glen Rock Electric Light and Power Company P","Pennsylvania ","673"
"1703","'Glenvil, Village of","Nebraska ","476"
"1704","Glenwood Light A Power Co","Missouri ","423"
"1705","Glenwood Light and Water Co., The C","Colorado ","59"
"1709","*Glidden Municipal Electric Light & Power Plant.","Iowa","213"
"1710","*Glidden Rural Electric Cooperative","Iowa...","229"
"1711","Glogora Coal Co -","West Virginia","852"
"1712","*Gloster Light and Water Works","Mississippi","409"
"1713","Gloucester Electric Company","Massachusetts","324"
"1714","*Glouster Board of Public Affairs","Ohio","615"
"1715","*Goff, City of","Kansas .","251"
"1716","Gold Beach Cooperative Utilities","Oregon...","657"
"1717","Gold Beach Electric Co","Oregon","657"
"1718","*Goldsboro Borough Council","Pennsylvania","699"
"1719","*Goltry Municipal Lighting System","Oklahoma","644"
"1720","*Goodhue County Cooperative Electric Association.","Minnesota","401"
"1721","*Goodland, City of","Kansas","251"
"1722","Goodman Light & Power Company","Wisconsin","859"
"1723","Goodman Lumber Co","Wisconsin","873"
"1724","Goodrich Company, B. F","Georgia","105"
"1725","","Ohio","609"
"1726","Goodyear Lumber Company","Mississippi","407"
"1727","Goshen Electric Company","Utah","789"
"1728","*Goshen Light and Water Works","Indiana","176"
"1729","Gossett Mills","South Carolina","714"
"1730","Gothenburg Light and Power Company","Nebraska","460"
"1731","Gould Electric Light Plant, H. P -","-. New York","531"
"1732","*Gouverneur, Village of","_ New York","551"
"1733","*Gowrie Light and Water Plant","Iowa","213"
"1734","*Gowrie Rural Electric Cooperative Association","Iowa","229"
"1735","*Grady County Electric Membership Corporation.","Georgia","115"
"1736","*Graf ton Board of Trustees of Public Affairs","Ohio","616"
"1737","*Grafton, City of","West Virginia","856"
"1738","*Graf ton Light and Water Department","North Dakota","589"
"1739","*Grafton Trans. & Distrib. Line","Iowa","213"
"1740","Graham Brothers Company","Arkansas","29"
"1741","Graham Power Company","Utah","790"
"1742","*Granada Light, Power & Water Plant","Colorado","66"
"1743","*Granbury Municipal Utilities","Texas","774"
"1744","*Grand Coulee, City of","Washington","835"
"1745","Grand County Light, Heat & Power Co","Colorado","59"
"1746","Grande Ronde Pine Company, The","Oregon","661"
